id,name,subcategories,parent,leaf_flag,parents,number_parents,subcategory_names,parent_names,target_category,human_category
121,Crossbody Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
122,Evening Handbags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Handbags",Women
123,Hobo Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
124,Satchels,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
125,Shoulder Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Shoulder Bags",Women
126,Tote Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Totes",Women
127,Wallets & Card Cases,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Accessories,Wallets",Women
128,Accessories,"[129, 130, 131, 132, 133, 134, 135, 136, 139, 148]",1,No,"[1.0, 0.0]",1,"['Belts', 'Gloves & Mittens', 'Hair Accessories', 'Hats', 'Headphones', 'Phone Cases', 'Scarves & Wraps', 'Sunglasses & Eyewear', 'Watches & Jewelry', 'Umbrella']","['Women', 'Main']","Main,Accessories",Women
129,Belts,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Belts",Women
130,Gloves & Mittens,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Gloves",Women
131,Hair Accessories,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Hair Accessories",Women
132,Hats,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Hats",Women
133,Headphones,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Electronics",Women
134,Phone Cases,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Phone Cases",Women
135,Scarves & Wraps,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Scarves",Women
136,Sunglasses & Eyewear,"[137, 138]",128,No,"[128.0, 1.0, 0.0]",2,"['Eyeglasses', 'Sunglasses']","['Accessories', 'Women', 'Main']","Main,Accessories,Eyewear",Women
137,Eyeglasses,[],136,Yes,"[136.0, 128.0, 1.0, 0.0]",3,[],"['Sunglasses & Eyewear', 'Accessories', 'Women', 'Main']","Main,Accessories,Eyewear,Eyeglasses",Women
